🇦🇩,AND
🇦🇪,ARE
🇦🇫,AFG
🇦🇬,ATG
🇦🇮,AIA
🇦🇱,ALB
🇦🇲,ARM
🇦🇴,AGO
🇦🇶,ATA
🇦🇷,ARG
🇦🇸,ASM
🇦🇹,AUT
🇦🇺,AUS
🇦🇼,ABW
🇦🇽,ALA
🇦🇿,AZE
🇧🇦,BIH
🇧🇧,BRB
🇧🇩,BGD
🇧🇪,BEL
🇧🇫,BFA
🇧🇬,BGR
🇧🇭,BHR
🇧🇮,BDI
🇧🇯,BEN
🇧🇱,BLM
🇧🇲,BMU
🇧🇳,BRN
🇧🇴,BOL
🇧🇶,NLD
🇧🇷,BRA
🇧🇸,BHS
🇧🇹,BTN
🇧🇻,BVT
🇧🇼,BWA
🇧🇾,BLR
🇧🇿,BLZ
🇨🇦,CAN
🇨🇨,CCK
🇨🇫,CAF
🇨🇬,COG
🇨🇭,CHE
🇨🇮,CIV
🇨🇰,COK
🇨🇱,CHL
🇨🇲,CMR
🇨🇳,CHN
🇨🇴,COL
🇨🇵,CPT
🇨🇷,CRI
🇨🇺,CUB
🇨🇻,CPV
🇨🇼,CUW
🇨🇽,CXR
🇨🇾,CYP
🇨🇿,CZE
🇩🇪,DEU
🇩🇬,DGA
🇩🇯,DJI
🇩🇰,DNK
🇩🇲,DMA
🇩🇴,DOM
🇩🇿,DZA
🇪🇦,ES-CE
🇪🇨,ECU
🇪🇪,EST
🇪🇬,EGY
🇪🇭,ESH
🇪🇷,ERI
🇪🇸,ESP
🇪🇹,ETH
🇫🇮,FIN
🇫🇯,FJI
🇫🇰,FLK
🇫🇲,FSM
🇫🇴,FRO
🇫🇷,FRA
🇬🇦,GAB
🇬🇧,GBR
🇬🇩,GRD
🇬🇪,GEO
🇬🇫,GUF
🇬🇬,GGY
🇬🇭,GHA
🇬🇮,GIB
🇬🇱,GRL
🇬🇲,GMB
🇬🇳,GIN
🇬🇵,GLP
🇬🇶,GNQ
🇬🇷,GRC
🇬🇸,SGS
🇬🇹,GTM
🇬🇺,GUM
🇬🇼,GNB
🇬🇾,GUY
🇭🇰,HKG
🇭🇰,CHN
🇭🇲,HMD
🇭🇳,HND
🇭🇷,HRV
🇭🇹,HTI
🇭🇺,HUN
🇮🇨,ES-CN
🇮🇩,IDN
🇮🇪,IRL
